timestamp	project_name	model	split	run_id	experiment_id	duration	emissions	emissions_rate	cpu_power	gpu_power	ram_power	cpu_energy	gpu_energy	ram_energy	energy_consumed	country_name	country_iso_code	region	cloud_provider	cloud_region	os	python_version	codecarbon_version	cpu_count	cpu_model	gpu_count	gpu_model	longitude	latitude	ram_total_size	tracking_mode	on_cloud	pue	precision@10	recall@10	mrr@10	averagepopularity@10	giniindex@10
2025-02-04T11:37:06	ItemKNN_ml1m_split_10	ItemKNN	10	d026d146-6530-4ed5-957b-f572a8722127	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	75.96872842	1.11E-05	1.46E-07	139.4175839	79.87145426	5.775	0.002946945	0.001583938	0.000121828	0.004652711	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1517	0.094	0.3765	1287.5563	0.9286
2025-02-04T11:42:22	LightGCN_ml1m_split_10	LightGCN	10	08582e6d-679e-4dab-a9dd-38df1382fe32	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	298.1128195	5.68E-05	1.91E-07	139.3716081	80.23483925	5.775	0.011615877	0.011817162	0.000478124	0.023911163	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1261	0.0752	0.2894	1411.3784	0.9459
2025-02-04T11:49:28	NGCF_ml1m_split_10	NGCF	10	7e1330e1-829e-49cb-bd09-16b9591f7528	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	388.385597	7.95E-05	2.05E-07	137.7263618	116.0192889	5.775	0.014928484	0.017875064	0.000622892	0.033426439	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1216	0.0741	0.2796	1140.8838	0.8931
2025-02-04T12:44:10	DGCF_ml1m_split_10	DGCF	10	301570eb-5251-4270-926b-aefab0d902a4	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	3245.897132	0.000755528	2.33E-07	143.423546	80.31421248	5.775	0.130163224	0.182451103	0.005205866	0.317820193	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1249	0.0768	0.2902	1300.5265	0.9213
