timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-02-09T21:18:09,NGCF_ml1m_split_6,e17e677b-55ae-48e0-bc64-f77d4225b153,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,778.771803095995,0.000157125040804,2.017600536889208e-07,196.32914246294217,76.60705893201809,5.775,0.0427903659558764,0.0220568509787995,0.0012489501921565,0.0660961671268325,Canada,CAN,quebec,,,Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28,3.11.6,2.8.3,1,Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz,1,1 x NVIDIA A100-SXM-64GB,-71.2,46.8,15.4,machine,N,1.0
2025-02-09T22:07:55,DGCF_ml1m_split_6,b74aca5f-a4c4-4bf1-87e1-56dbc2a8fe13,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2958.947757888004,0.0007605480981073,2.570332970833624e-07,190.6340662182897,76.65097808964514,5.775,0.1573254241627386,0.1578611437888142,0.0047453406942846,0.3199319086458375,Canada,CAN,quebec,,,Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28,3.11.6,2.8.3,1,Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz,1,1 x NVIDIA A100-SXM-64GB,-71.2,46.8,15.4,machine,N,1.0
2025-02-09T22:08:54,ItemKNN_ml1m_split_8,ec7e4fe6-ffd8-40ae-a8b6-dc025b079b39,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,46.559770020016,8.214485604139051e-06,1.764288268736648e-07,176.3306080780665,75.47433613245785,5.775,0.0024006470369049,0.0009802018952704,7.465383538904888e-05,0.0034555027675645,Canada,CAN,quebec,,,Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28,3.11.6,2.8.3,1,Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz,1,1 x NVIDIA A100-SXM-64GB,-71.2,46.8,15.4,machine,N,1.0
2025-02-09T22:17:01,LightGCN_ml1m_split_8,eab01676-ec7b-4b38-8bad-be2628643a27,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,466.61439380497904,0.0001097163151461,2.351327275856899e-07,199.06057450933835,79.53692560610692,5.775,0.0244646393219735,0.0209402828633251,0.0007483062582845,0.0461532284435833,Canada,CAN,quebec,,,Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28,3.11.6,2.8.3,1,Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz,1,1 x NVIDIA A100-SXM-64GB,-71.2,46.8,15.4,machine,N,1.0
2025-02-09T22:38:46,NGCF_ml1m_split_8,e44bc428-34df-454e-bce7-a69701aa0a90,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1271.3060837460216,0.0002542270458595,1.9997312142989005e-07,192.7555099912516,76.4247462080785,5.775,0.0685657019591843,0.036338631293102,0.0020387308532265,0.1069430641055128,Canada,CAN,quebec,,,Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28,3.11.6,2.8.3,1,Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz,1,1 x NVIDIA A100-SXM-64GB,-71.2,46.8,15.4,machine,N,1.0
2025-02-10T00:05:41,DGCF_ml1m_split_8,334c2265-9454-4c75-bca8-e310502cf385,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5184.502906095993,0.0013741800732449,2.650553193111735e-07,198.6032091082677,74.46446492181242,5.775,0.2837772923319299,0.2859707473875232,0.0083140904080135,0.5780621301274667,Canada,CAN,quebec,,,Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28,3.11.6,2.8.3,1,Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz,1,1 x NVIDIA A100-SXM-64GB,-71.2,46.8,15.4,machine,N,1.0
2025-02-10T00:06:49,ItemKNN_ml1m_split_10,1538fa22-2099-4c6f-83e1-3314a82c1106,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,54.239443200989626,9.93456027400646e-06,1.8316117732243242e-07,195.22443292957269,75.6572744207959,5.775,0.0029512781037983,0.0011408111904245,8.697950882770116e-05,0.0041790688030505,Canada,CAN,quebec,,,Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28,3.11.6,2.8.3,1,Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz,1,1 x NVIDIA A100-SXM-64GB,-71.2,46.8,15.4,machine,N,1.0
2025-02-10T00:18:39,LightGCN_ml1m_split_10,c7c93304-a294-4174-af88-10ea736b8cd0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,692.2521780219977,0.0001670685953762,2.413406568884329e-07,190.59827423132168,78.43545409528957,5.775,0.037033936098514,0.03213498015241,0.0011101032174346,0.0702790194683587,Canada,CAN,quebec,,,Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28,3.11.6,2.8.3,1,Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz,1,1 x NVIDIA A100-SXM-64GB,-71.2,46.8,15.4,machine,N,1.0
2025-02-10T00:51:20,NGCF_ml1m_split_10,e1064f56-33f5-407e-8d26-09759d70ae90,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1921.2189865460384,0.0003709692724418,1.9309057168376883e-07,179.6556835381183,75.76476737083985,5.775,0.0975654628973077,0.055405515991044,0.0030808312162785,0.1560518101046304,Canada,CAN,quebec,,,Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28,3.11.6,2.8.3,1,Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz,1,1 x NVIDIA A100-SXM-64GB,-71.2,46.8,15.4,machine,N,1.0
2025-02-10T03:06:57,DGCF_ml1m_split_10,fd22974f-cb1a-40de-a051-17ab56d4bc68,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,8101.1179372129845,0.002129037872749593,2.6280790987744127e-07,194.96836415310565,75.98407944503532,5.775,0.424547828300491,0.45806205867157246,0.012990472693664322,0.8956003596657274,Canada,CAN,quebec,,,Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28,3.11.6,2.8.3,1,Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz,1,1 x NVIDIA A100-SXM-64GB,-71.2,46.8,15.4,machine,N,1.0
