n_users	n_items	n_inter	sparsity	kg_entities	kg_relations	kg_triples	kg_items	cpu_cores	ram_size	is_gpu	model_name	model_type	emissions	emissions_g
6040	3706	1000209	0.955316374	79347	49	385923	3655	32	16	1	ItemKNN	general	0.001985	1.985058
6040	3706	1000209	0.955316374	79347	49	385923	3655	32	16	1	LightGCN	general	0.033383	33.382534
6040	3706	1000209	0.955316374	79347	49	385923	3655	32	16	1	NGCF	general	0.074125	74.124610
6040	3706	1000209	0.955316374	79347	49	385923	3655	32	16	1	DGCF	general	0.425410	425.410171
